"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
11990,"GRX","Granada Airport","Granada, Spain","","",
11990,"GRX","Granada Airport","Granada, Spain","","",
11991,"GRZ","Graz Airport","Graz, Austria","","",
11991,"GRZ","Graz Airport","Graz, Austria","","",
11991,"GRZ","Graz International","Graz, Austria","","",
11991,"GRZ","Graz International","Graz, Austria","","",
11992,"GSB","Seymour Johnson AFB","Goldsboro, NC","NC","37",
11992,"GSB","Seymour Johnson AFB","Goldsboro, NC","NC","37",
11993,"GSE","Gothenburg City","Gothenburg, Sweden","","",
11994,"GSH","Goshen Municipal","Goshen, IN","IN","18",
11994,"GSH","Goshen Municipal","Goshen, IN","IN","18",
11994,"GSH","Goshen Municipal","Goshen, IN","IN","18",
11995,"GSO","Piedmont Triad International","Greensboro/High Point, NC","NC","37",
11995,"GSO","Piedmont Triad International","Greensboro/High Point, NC","NC","37",
11996,"GSP","Greenville-Spartanburg","Greer, SC","SC","45",
11996,"GSP","Greenville-Spartanburg International","Greer, SC","SC","45",
11996,"GSP","Greenville-Spartanburg International","Greer, SC","SC","45",
11997,"GST","Gustavus Airport","Gustavus, AK","AK","02",
11997,"GST","Gustavus Airport","Gustavus, AK","AK","02",
11999,"GSW","Greater Southwest International","Dallas/Fort Worth, TX","TX","48",
12000,"GT1","San Jose Airport","San Jose, Guatemala","","",
12000,"GT1","San Jose Airport","San Jose, Guatemala","","",
12001,"GTB","Genting Airport","Genting, Malaysia","","",
12002,"GTE","Groote Eylandt","Groote Island, Australia","","",
12002,"GTE","Groote Eylandt","Groote Island, Australia","","",
12002,"GTE","Groote Eylandt","Groote Island, Australia","","",
12003,"GTF","Great Falls International","Great Falls, MT","MT","30",
12003,"GTF","Great Falls International","Great Falls, MT","MT","30",
12004,"GTK","Sungei Tekai Airport","Sungei Tekai, Malaysia","","",
12005,"GTN","Glentanner","Mount Cook, New Zealand","","",
12006,"GTO","Jalaluddin","Gorontalo, Indonesia","","",
12006,"GTO","Djalaluddin","Gorontalo, Indonesia","","",
12007,"GTR","Golden Triangle Regional","Columbus, MS","MS","28",
12007,"GTR","Golden Triangle Regional","Columbus, MS","MS","28",
12008,"GTU","Georgetown Municipal","Georgetown, TX","TX","48",
12009,"GTW","Holesov","Gottwaldov, Czechoslovakia","","",
12009,"GTW","Holesov","Zlin, Czechoslovakia","","",
12009,"GTW","Holesov","Zlin, Czech Republic","","",
12010,"GUA","La Aurora","Guatemala City, Guatemala","","",
12010,"GUA","La Aurora","Guatemala City, Guatemala","","",
12010,"GUA","La Aurora International","Guatemala City, Guatemala","","",
